név;képességek;szerezhető_tárgyak;leírás
Poloska;Bűzbomba,repülés,függöny használat,posztumusz gázfelhő;Gyakori tárgyak;Falkában járnak és függönyökben szeretnek tanyázni, undorító külsejük és szagukkal végeznek áldozataikkal, bizonyos emberek nem tartják undorítónak.
Csótány;Erőharapás,csúszó-mászás,túlélés,szaporodás;Gyakori tárgyak;Egy ökölnyi méretű, ám de olyan erős harapással rendelkező ellenfél, mely képes átrágni a balaton alatt futó kréta szerverek adatkábeleit, de ehelyett te vagy egy térben vele.
Patkány;Erős harapás,surranás,túlélés,szaporodás;Gyakori tárgyak;Falakból hirtelen felbukkanó vérengző emlős akik nem csak egyedül járnak hanem hozza vele az egész familiát. Jellemző rá a folyamatos sebzés megtisztulás képességgel hatástalanítható.
Galamb;Folyamatos szarás,szem kivájás;Gyakori tárgyak;Random berepül az ablakon és teliszarja a termeket amivel tényleges sebzést biztosít, gyakori rá szapora lábmunka és folyamatos sebzés megtisztulással illetve ujraéledéledéssel hatástalantható.
Portás;Ajándékozás,tájékoztatás;!küldetés tárgyak;Egy barátságos NPC akivel az aulába való belépés előtt találkozhat a játékos, szerencsés alkalmakkor adhat a játékosnak tárgyakat.
Konyhás;Méregkotyvasztás,hasmenetés,szemölcsszőr lövés,nyájas szavak;Ételek,italok,bizonyos fegyverek;Egy igencsak unattraktiv szemolcsos emberféle, akinek egyetlen célja, hogy kedvesnek tűnjön miközben megpróbál megmérgezni.
Takarító;Savköpés,hipo x domesztosz - klórgáz <3,portalanítás,felmosás;Vegyszerek,felmosó,teremkulcsok,“talált” tárgyak;Egy neutrális nem játszható karakter aki a folyosókat járja, és néha napján találkozik vele a játékos, amennyiben bele köt a játékos viszont inzultálni fogja, és kegyetlen módszerekket alkalmaz, hogy hatástalanítsa.
Gab Roland;Megfélemlítés,körmölés,cigiszünet,diktálás,füstölő kréta,omnipotens;Kréta,matekfüzet,feladatgyűjtemény,cigi;Egy kedves de némileg matek függő passzív-aktív tanár, kinek ereje a cigi füst s szavainak okosságában rejlik. A krétával is jól bánik, ha kezében akad egy, s füstre kényszeríti azt.
Bukott diák;Mérhetetlen butaság,elbukás,megbukás,kibukás,lebukás;Telefon,cigi,zsepi,tű;Neve elég leíró, olyan diák kinek képessége abban rejlik, hogy mindenben rossz és bukik.
Iskolához fűzött remények;Kísértés,halott álmok kivetítése,remények eltüntetése,kibukás;Remény;Valami furcsa érzés, ami körbevesz, talán az, hogy egész életedben nem értél el semmit, és az, hogy az álmaid nem jöttek össze, elgondolkodsz hogy hol ment félre az életed.
Pincéből nem visszatért diákok;Örökké eltűnt státusz;Senki sem tudja,konzerv kaja;Sajnálatos módon, iskolai szolgálat reményében, lementek a pincébe rendet rakni, ám becsukódott a rácsos ajtó, és soha többet nem hallottak már felőlük.
